term1;term2;error_degree;weight;eq_id;eq_size;community
116661920;http://dbpedia.org/resource/Barack_Obama^^<http://www.w3.org/2001/XMLSchema#string>;http://www.ontosearch.com/2008/01/identification/EID-3b6e3fb1eb4bef8e669277e73d2e7d56;0.96;1;5723;14916;3
116661921;http://af.dbpedia.org/resource/Barack_Obama;http://als.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661922;http://af.dbpedia.org/resource/Barack_Obama;http://am.dbpedia.org/resource/ባራክ_ኦባማ;0.24;2;5723;14916;0
116661923;http://af.dbpedia.org/resource/Barack_Obama;http://an.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661924;http://af.dbpedia.org/resource/Barack_Obama;http://ar.dbpedia.org/resource/باراك_أوباما;0.24;2;5723;14916;0
116661925;http://af.dbpedia.org/resource/Barack_Obama;http://arz.dbpedia.org/resource/باراك_اوباما;0.24;2;5723;14916;0
116661926;http://af.dbpedia.org/resource/Barack_Obama;http://ast.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661927;http://af.dbpedia.org/resource/Barack_Obama;http://az.dbpedia.org/resource/Barak_Obama;0.24;2;5723;14916;0
116661928;http://af.dbpedia.org/resource/Barack_Obama;http://ba.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116661929;http://af.dbpedia.org/resource/Barack_Obama;http://bat-smg.dbpedia.org/resource/Baraks_Obama;0.24;2;5723;14916;0
116661930;http://af.dbpedia.org/resource/Barack_Obama;http://be-x-old.dbpedia.org/resource/Барак_Абама;0.24;2;5723;14916;0
116661931;http://af.dbpedia.org/resource/Barack_Obama;http://be.dbpedia.org/resource/Барак_Абама;0.24;2;5723;14916;0
116661932;http://af.dbpedia.org/resource/Barack_Obama;http://bg.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116661933;http://af.dbpedia.org/resource/Barack_Obama;http://bn.dbpedia.org/resource/বারাক_ওবামা;0.24;2;5723;14916;0
116661934;http://af.dbpedia.org/resource/Barack_Obama;http://br.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661935;http://af.dbpedia.org/resource/Barack_Obama;http://bs.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661936;http://af.dbpedia.org/resource/Barack_Obama;http://ca.dbpedia.org/resource/Barack_Hussein_Obama;0.24;2;5723;14916;0
116661937;http://af.dbpedia.org/resource/Barack_Obama;http://ca.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661938;http://af.dbpedia.org/resource/Barack_Obama;http://ceb.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661939;http://af.dbpedia.org/resource/Barack_Obama;http://ckb.dbpedia.org/resource/باراک_ئۆباما;0.24;2;5723;14916;0
116661940;http://af.dbpedia.org/resource/Barack_Obama;http://cs.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661941;http://af.dbpedia.org/resource/Barack_Obama;http://cv.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116661942;http://af.dbpedia.org/resource/Barack_Obama;http://cy.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661943;http://af.dbpedia.org/resource/Barack_Obama;http://da.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661944;http://af.dbpedia.org/resource/Barack_Obama;http://dbpedia.org/resource/Barack_Obama;0.49;2;5723;14916;0-3
116661945;http://af.dbpedia.org/resource/Barack_Obama;http://de.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661946;http://af.dbpedia.org/resource/Barack_Obama;http://diq.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661947;http://af.dbpedia.org/resource/Barack_Obama;http://el.dbpedia.org/resource/Μπαράκ_Ομπάμα;0.24;2;5723;14916;0
116661948;http://af.dbpedia.org/resource/Barack_Obama;http://eo.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116661949;http://af.dbpedia.org/resource/Barack_Obama;http://es.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
